H/L,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900
500,237,242,253,259,264,275,281,292,308,325,336,358,369,391,402
600,242,253,259,270,275,292,308,325,341,363,380,402,418,440,457
700,253,259,264,275,292,314,330,352,369,396,413,435,451,473,490
800,259,270,275,297,319,341,363,385,407,435,451,479,501,523,545
900,264,275,292,319,341,369,385,413,435,462,484,512,534,561,583
1000,275,292,314,341,369,396,418,451,473,506,523,556,578,611,633
1100,281,308,330,363,385,418,440,479,501,534,556,589,616,644,666
1200,292,325,352,385,413,451,479,512,539,572,600,633,660,693,721
1300,308,341,369,407,435,473,501,539,567,600,627,666,693,732,759
1400,325,363,391,435,462,501,528,572,600,644,671,710,737,781,809
1500,336,380,413,451,484,523,556,600,627,671,699,743,776,814,847
1600,358,402,435,479,512,556,589,633,666,710,743,787,820,864,897
1700,369,418,451,501,534,578,611,660,693,737,776,820,853,902,935
1800,385,440,473,523,561,611,644,693,732,781,814,864,902,952,985
1900,402,457,490,545,583,633,666,721,759,809,847,897,935,985,1023
2000,418,473,512,567,611,660,699,754,792,853,886,941,979,1034,1073
2100,435,490,534,589,627,688,726,781,820,875,919,974,1018,1073,1111
2200,451,512,556,616,655,715,759,820,858,919,963,1018,1062,1122,1161
2300,468,528,572,633,677,737,781,842,886,946,990,1051,1095,1155,1199
2400,484,550,594,660,704,770,814,880,924,990,1034,1095,1144,1205,1249
